"Year","Buffalo","SanDiego"
1941,22.16,24.93
1942,38.63,5.93
1945,44.47,9.23
1951,37.75,11.22
1953,35.88,3.41
1957,38.69,12.13
1958,34.39,10.93
1961,37.11,4.61
1963,33.2,7.72
1965,35.47,19.03
1967,34.6,11.21
1969,36.16,11.76
1974,36.31,8.13
1976,46.52,11.23
1977,53.55,9.21
1981,36.46,10.24
1983,39.5,18.78
1986,39.66,12.18
1987,42.15,11.6
1992,47.56,12.81
1996,48.2,7.27
1998,34.7,16.05
1999,34.08,5.43
2001,35.18,8.47
2004,41.73,13.39
2005,39.07,14.11
2011,49.56,9.08
2015,36.79,9.89
2024,37.05,11.16
2025,31.74,9.65
